[2023-12-12 08:37:53] This is codeql database finalize codeql-dbs/javascript
[2023-12-12 08:37:53] Log file was started late.
[2023-12-12 08:37:54] Importing os.js.trap.gz (31 of 442)
[2023-12-12 08:37:54] Importing path.js.trap.gz (32 of 442)
[2023-12-12 08:37:54] Importing process.js.trap.gz (33 of 442)
[2023-12-12 08:37:54] Importing punycode.js.trap.gz (34 of 442)
[2023-12-12 08:37:54] Importing querystring.js.trap.gz (35 of 442)
[2023-12-12 08:37:54] Importing readline.js.trap.gz (36 of 442)
[2023-12-12 08:37:54] Importing repl.js.trap.gz (37 of 442)
[2023-12-12 08:37:54] Importing stream.js.trap.gz (38 of 442)
[2023-12-12 08:37:54] Importing string_decoder.js.trap.gz (39 of 442)
[2023-12-12 08:37:54] Importing sys.js.trap.gz (40 of 442)
[2023-12-12 08:37:54] Importing timers.js.trap.gz (41 of 442)
[2023-12-12 08:37:54] Importing tls.js.trap.gz (42 of 442)
[2023-12-12 08:37:54] Importing tty.js.trap.gz (43 of 442)
[2023-12-12 08:37:54] Importing url.js.trap.gz (44 of 442)
[2023-12-12 08:37:54] Importing util.js.trap.gz (45 of 442)
[2023-12-12 08:37:54] Importing v8.js.trap.gz (46 of 442)
[2023-12-12 08:37:54] Importing vm.js.trap.gz (47 of 442)
[2023-12-12 08:37:54] Importing zlib.js.trap.gz (48 of 442)
[2023-12-12 08:37:54] Importing jsshell.js.trap.gz (49 of 442)
[2023-12-12 08:37:54] Importing rhino.js.trap.gz (50 of 442)
[2023-12-12 08:37:54] Importing spidermonkey.js.trap.gz (51 of 442)
[2023-12-12 08:37:54] Importing v8.js.trap.gz (52 of 442)
[2023-12-12 08:37:54] Importing chrome.js.trap.gz (53 of 442)
[2023-12-12 08:37:54] Importing fetchapi.js.trap.gz (54 of 442)
[2023-12-12 08:37:54] Importing fileapi.js.trap.gz (55 of 442)
[2023-12-12 08:37:54] Importing flash.js.trap.gz (56 of 442)
[2023-12-12 08:37:54] Importing gecko_css.js.trap.gz (57 of 442)
[2023-12-12 08:37:54] Importing gecko_dom.js.trap.gz (58 of 442)
[2023-12-12 08:37:54] Importing gecko_event.js.trap.gz (59 of 442)
[2023-12-12 08:37:54] Importing gecko_ext.js.trap.gz (60 of 442)
[2023-12-12 08:37:54] Importing gecko_xml.js.trap.gz (61 of 442)
[2023-12-12 08:37:54] Importing html5.js.trap.gz (62 of 442)
[2023-12-12 08:37:54] Importing ie_css.js.trap.gz (63 of 442)
[2023-12-12 08:37:54] Importing ie_dom.js.trap.gz (64 of 442)
[2023-12-12 08:37:54] Importing ie_event.js.trap.gz (65 of 442)
[2023-12-12 08:37:54] Importing ie_vml.js.trap.gz (66 of 442)
[2023-12-12 08:37:54] Importing intl.js.trap.gz (67 of 442)
[2023-12-12 08:37:54] Importing iphone.js.trap.gz (68 of 442)
[2023-12-12 08:37:54] Importing mediasource.js.trap.gz (69 of 442)
[2023-12-12 08:37:54] Importing page_visibility.js.trap.gz (70 of 442)
[2023-12-12 08:37:54] Importing streamsapi.js.trap.gz (71 of 442)
[2023-12-12 08:37:54] Importing url.js.trap.gz (72 of 442)
[2023-12-12 08:37:54] Importing w3c_anim_timing.js.trap.gz (73 of 442)
[2023-12-12 08:37:54] Importing w3c_batterystatus.js.trap.gz (74 of 442)
[2023-12-12 08:37:54] Importing w3c_css.js.trap.gz (75 of 442)
[2023-12-12 08:37:54] Importing w3c_css3d.js.trap.gz (76 of 442)
[2023-12-12 08:37:54] Importing w3c_device_sensor_event.js.trap.gz (77 of 442)
[2023-12-12 08:37:54] Importing w3c_dom1.js.trap.gz (78 of 442)
[2023-12-12 08:37:54] Importing w3c_dom2.js.trap.gz (79 of 442)
[2023-12-12 08:37:54] Importing w3c_dom3.js.trap.gz (80 of 442)
[2023-12-12 08:37:54] Importing w3c_dom4.js.trap.gz (81 of 442)
[2023-12-12 08:37:54] Importing w3c_elementtraversal.js.trap.gz (82 of 442)
[2023-12-12 08:37:54] Importing w3c_encoding.js.trap.gz (83 of 442)
[2023-12-12 08:37:54] Importing w3c_event.js.trap.gz (84 of 442)
[2023-12-12 08:37:54] Importing w3c_event3.js.trap.gz (85 of 442)
[2023-12-12 08:37:54] Importing w3c_gamepad.js.trap.gz (86 of 442)
[2023-12-12 08:37:54] Importing w3c_geolocation.js.trap.gz (87 of 442)
[2023-12-12 08:37:54] Importing w3c_indexeddb.js.trap.gz (88 of 442)
[2023-12-12 08:37:54] Importing w3c_midi.js.trap.gz (89 of 442)
[2023-12-12 08:37:54] Importing w3c_navigation_timing.js.trap.gz (90 of 442)
[2023-12-12 08:37:54] Importing w3c_permissions.js.trap.gz (91 of 442)
[2023-12-12 08:37:54] Importing w3c_pointer_events.js.trap.gz (92 of 442)
[2023-12-12 08:37:54] Importing w3c_range.js.trap.gz (93 of 442)
[2023-12-12 08:37:54] Importing w3c_requestidlecallback.js.trap.gz (94 of 442)
[2023-12-12 08:37:54] Importing w3c_rtc.js.trap.gz (95 of 442)
[2023-12-12 08:37:54] Importing w3c_screen_orientation.js.trap.gz (96 of 442)
[2023-12-12 08:37:54] Importing w3c_selectors.js.trap.gz (97 of 442)
[2023-12-12 08:37:54] Importing w3c_serviceworker.js.trap.gz (98 of 442)
[2023-12-12 08:37:54] Importing w3c_touch_event.js.trap.gz (99 of 442)
[2023-12-12 08:37:54] Importing w3c_webcrypto.js.trap.gz (100 of 442)
[2023-12-12 08:37:54] Importing w3c_xml.js.trap.gz (101 of 442)
[2023-12-12 08:37:54] Importing webgl.js.trap.gz (102 of 442)
[2023-12-12 08:37:54] Importing webkit_css.js.trap.gz (103 of 442)
[2023-12-12 08:37:55] Importing webkit_dom.js.trap.gz (104 of 442)
[2023-12-12 08:37:55] Importing webkit_event.js.trap.gz (105 of 442)
[2023-12-12 08:37:55] Importing webkit_notifications.js.trap.gz (106 of 442)
[2023-12-12 08:37:55] Importing webkit_usercontent.js.trap.gz (107 of 442)
[2023-12-12 08:37:55] Importing webstorage.js.trap.gz (108 of 442)
[2023-12-12 08:37:55] Importing whatwg_encoding.js.trap.gz (109 of 442)
[2023-12-12 08:37:55] Importing window.js.trap.gz (110 of 442)
[2023-12-12 08:37:55] Importing dependabot.yml.trap.gz (111 of 442)
[2023-12-12 08:37:55] Importing codeql.yml.trap.gz (112 of 442)
[2023-12-12 08:37:55] Importing deploy-prod.yaml.trap.gz (113 of 442)
[2023-12-12 08:37:55] Importing deploy-staging.yaml.trap.gz (114 of 442)
[2023-12-12 08:37:55] Importing run-tests.yaml.trap.gz (115 of 442)
[2023-12-12 08:37:55] Importing org.ladocuploader.app.journeys.LaDigitalAssisterFlowJourneyTest.html.trap.gz (116 of 442)
[2023-12-12 08:37:55] Importing org.ladocuploader.app.journeys.LaDocUploadFlowJourneyTest.html.trap.gz (117 of 442)
[2023-12-12 08:37:55] Importing org.ladocuploader.app.journeys.StaticPagesJourneyTest.html.trap.gz (118 of 442)
[2023-12-12 08:37:55] Importing index.html.trap.gz (119 of 442)
[2023-12-12 08:37:55] Importing report.js.trap.gz (120 of 442)
[2023-12-12 08:37:55] Importing org.ladocuploader.app.journeys.html.trap.gz (121 of 442)
[2023-12-12 08:37:55] Importing application-demo.yaml.trap.gz (122 of 442)
[2023-12-12 08:37:55] Importing application-dev.yaml.trap.gz (123 of 442)
[2023-12-12 08:37:55] Importing application-staging.yaml.trap.gz (124 of 442)
[2023-12-12 08:37:55] Importing application.yaml.trap.gz (125 of 442)
[2023-12-12 08:37:55] Importing flows-config.yaml.trap.gz (126 of 442)
[2023-12-12 08:37:55] Importing dropzone.js.trap.gz (127 of 442)
[2023-12-12 08:37:55] Importing index.js.trap.gz (128 of 442)
[2023-12-12 08:37:55] Importing demoBanner.html.trap.gz (129 of 442)
[2023-12-12 08:37:55] Importing fileUploader.html.trap.gz (130 of 442)
[2023-12-12 08:37:55] Importing footer.html.trap.gz (131 of 442)
[2023-12-12 08:37:55] Importing head.html.trap.gz (132 of 442)
[2023-12-12 08:37:55] Importing icons.html.trap.gz (133 of 442)
[2023-12-12 08:37:55] Importing checkboxMod.html.trap.gz (134 of 442)
[2023-12-12 08:37:55] Importing fulldate.html.trap.gz (135 of 442)
[2023-12-12 08:37:55] Importing householdCheckboxFieldset.html.trap.gz (136 of 442)
[2023-12-12 08:37:55] Importing money.html.trap.gz (137 of 442)
[2023-12-12 08:37:55] Importing number.html.trap.gz (138 of 442)
[2023-12-12 08:37:55] Importing repAddress.html.trap.gz (139 of 442)
[2023-12-12 08:37:55] Importing ssn.html.trap.gz (140 of 442)
[2023-12-12 08:37:55] Importing submitButtonSecondary.html.trap.gz (141 of 442)
[2023-12-12 08:37:55] Importing text.html.trap.gz (142 of 442)
[2023-12-12 08:37:55] Importing yesOrNo.html.trap.gz (143 of 442)
[2023-12-12 08:37:55] Importing libraryHead.html.trap.gz (144 of 442)
[2023-12-12 08:37:55] Importing localeSelect.html.trap.gz (145 of 442)
[2023-12-12 08:37:55] Importing mixpanelTracking.html.trap.gz (146 of 442)
[2023-12-12 08:37:55] Importing reveal.html.trap.gz (147 of 442)
[2023-12-12 08:37:55] Importing toolbar.html.trap.gz (148 of 442)
[2023-12-12 08:37:55] Importing index.html.trap.gz (149 of 442)
[2023-12-12 08:37:55] Importing applicantNotice.html.trap.gz (150 of 442)
[2023-12-12 08:37:55] Importing authorizedRepAuthorization.html.trap.gz (151 of 442)
[2023-12-12 08:37:55] Importing authorizedRepCommunication.html.trap.gz (152 of 442)
[2023-12-12 08:37:55] Importing authorizedRepContactInfo.html.trap.gz (153 of 442)
[2023-12-12 08:37:55] Importing authorizedRepMail.html.trap.gz (154 of 442)
[2023-12-12 08:37:55] Importing authorizedRepSpending.html.trap.gz (155 of 442)
[2023-12-12 08:37:55] Importing choosePrograms.html.trap.gz (156 of 442)
[2023-12-12 08:37:55] Importing confirmation.html.trap.gz (157 of 442)
[2023-12-12 08:37:55] Importing contactInfo.html.trap.gz (158 of 442)
[2023-12-12 08:37:55] Importing ethnicitySelection.html.trap.gz (159 of 442)
[2023-12-12 08:37:55] Importing expeditedSnapNotice.html.trap.gz (160 of 442)
[2023-12-12 08:37:55] Importing expeditedSnapStart.html.trap.gz (161 of 442)
[2023-12-12 08:37:55] Importing expensesCondoFees.html.trap.gz (162 of 442)
[2023-12-12 08:37:55] Importing expensesDentalInsurance.html.trap.gz (163 of 442)
[2023-12-12 08:37:55] Importing expensesDependentCare.html.trap.gz (164 of 442)
[2023-12-12 08:37:55] Importing expensesDependentCareAmount.html.trap.gz (165 of 442)
[2023-12-12 08:37:55] Importing expensesElderlyCare.html.trap.gz (166 of 442)
[2023-12-12 08:37:55] Importing expensesElderlyCareAmount.html.trap.gz (167 of 442)
[2023-12-12 08:37:55] Importing expensesFloodInsurance.html.trap.gz (168 of 442)
[2023-12-12 08:37:55] Importing expensesHomeownerInsurance.html.trap.gz (169 of 442)
[2023-12-12 08:37:55] Importing expensesInsurance.html.trap.gz (170 of 442)
[2023-12-12 08:37:55] Importing expensesLotRent.html.trap.gz (171 of 442)
[2023-12-12 08:37:55] Importing expensesMedicalBills.html.trap.gz (172 of 442)
[2023-12-12 08:37:55] Importing expensesMedicalInsurance.html.trap.gz (173 of 442)
[2023-12-12 08:37:55] Importing expensesMortgage.html.trap.gz (174 of 442)
[2023-12-12 08:37:55] Importing expensesOther.html.trap.gz (175 of 442)
[2023-12-12 08:37:55] Importing expensesPropertyTax.html.trap.gz (176 of 442)
[2023-12-12 08:37:55] Importing expensesRent.html.trap.gz (177 of 442)
[2023-12-12 08:37:55] Importing expensesSignPost.html.trap.gz (178 of 442)
[2023-12-12 08:37:55] Importing expensesVisionInsurance.html.trap.gz (179 of 442)
[2023-12-12 08:37:55] Importing finalSignPost.html.trap.gz (180 of 442)
[2023-12-12 08:37:55] Importing homeAddress.html.trap.gz (181 of 442)
[2023-12-12 08:37:55] Importing householdAdditionalIncome.html.trap.gz (182 of 442)
[2023-12-12 08:37:55] Importing householdBenefits.html.trap.gz (183 of 442)
[2023-12-12 08:37:55] Importing householdBenefitsWho.html.trap.gz (184 of 442)
[2023-12-12 08:37:55] Importing householdCitizenship.html.trap.gz (185 of 442)
[2023-12-12 08:37:55] Importing householdCitizenshipNumber.html.trap.gz (186 of 442)
[2023-12-12 08:37:55] Importing householdCount.html.trap.gz (187 of 442)
[2023-12-12 08:37:55] Importing householdCriminalJusticeSituations.html.trap.gz (188 of 442)
[2023-12-12 08:37:55] Importing householdEmployerName.html.trap.gz (189 of 442)
[2023-12-12 08:37:55] Importing householdEmploymentStatus.html.trap.gz (190 of 442)
[2023-12-12 08:37:55] Importing householdFoster.html.trap.gz (191 of 442)
[2023-12-12 08:37:55] Importing householdFosterAgedOut.html.trap.gz (192 of 442)
[2023-12-12 08:37:55] Importing householdFosterAgedOutWho.html.trap.gz (193 of 442)
[2023-12-12 08:37:55] Importing householdFosterWho.html.trap.gz (194 of 442)
[2023-12-12 08:37:55] Importing householdHomeExpenses.html.trap.gz (195 of 442)
[2023-12-12 08:37:55] Importing householdHomeless.html.trap.gz (196 of 442)
[2023-12-12 08:37:55] Importing householdHomelessnessWho.html.trap.gz (197 of 442)
[2023-12-12 08:37:55] Importing householdIncomeByJob.html.trap.gz (198 of 442)
[2023-12-12 08:37:55] Importing householdIncomeConfirmation.html.trap.gz (199 of 442)
[2023-12-12 08:37:55] Importing householdIncomeDeleteConfirmation.html.trap.gz (200 of 442)
[2023-12-12 08:37:55] Importing householdIncomeList.html.trap.gz (201 of 442)
[2023-12-12 08:37:55] Importing householdIncomeTotal.html.trap.gz (202 of 442)
[2023-12-12 08:37:55] Importing householdIncomeWho.html.trap.gz (203 of 442)
[2023-12-12 08:37:55] Importing householdInfo.html.trap.gz (204 of 442)
[2023-12-12 08:37:55] Importing householdJobSearch.html.trap.gz (205 of 442)
[2023-12-12 08:37:55] Importing householdJobSearchWho.html.trap.gz (206 of 442)
[2023-12-12 08:37:55] Importing householdList.html.trap.gz (207 of 442)
[2023-12-12 08:37:55] Importing householdMeals.html.trap.gz (208 of 442)
[2023-12-12 08:37:55] Importing householdMealsWho.html.trap.gz (209 of 442)
[2023-12-12 08:37:55] Importing householdMemberDeleteConfirmation.html.trap.gz (210 of 442)
[2023-12-12 08:37:55] Importing householdMoneyOnHand.html.trap.gz (211 of 442)
[2023-12-12 08:37:55] Importing householdMonthlyIncome.html.trap.gz (212 of 442)
[2023-12-12 08:37:55] Importing householdNonCitizenWho.html.trap.gz (213 of 442)
[2023-12-12 08:37:55] Importing householdPersonalSituations.html.trap.gz (214 of 442)
[2023-12-12 08:37:55] Importing householdPersonalSituationsWho.html.trap.gz (215 of 442)
[2023-12-12 08:37:55] Importing householdPregnancy.html.trap.gz (216 of 442)
[2023-12-12 08:37:55] Importing householdPregnancyWho.html.trap.gz (217 of 442)
[2023-12-12 08:37:55] Importing householdPrepareFood.html.trap.gz (218 of 442)
[2023-12-12 08:37:55] Importing householdPrepareFoodWho.html.trap.gz (219 of 442)
[2023-12-12 08:37:55] Importing householdRoomRental.html.trap.gz (220 of 442)
[2023-12-12 08:37:55] Importing householdRoomRentalWho.html.trap.gz (221 of 442)
[2023-12-12 08:37:55] Importing householdSchool.html.trap.gz (222 of 442)
[2023-12-12 08:37:55] Importing householdSchoolWho.html.trap.gz (223 of 442)
[2023-12-12 08:37:55] Importing householdSeasonalFarmWorker.html.trap.gz (224 of 442)
[2023-12-12 08:37:55] Importing householdSelfEmployment.html.trap.gz (225 of 442)
[2023-12-12 08:37:55] Importing householdSensitiveQuestionsCriminalJustice.html.trap.gz (226 of 442)
[2023-12-12 08:37:55] Importing householdSignPost.html.trap.gz (227 of 442)
[2023-12-12 08:37:55] Importing householdSpecialSituations.html.trap.gz (228 of 442)
[2023-12-12 08:37:55] Importing householdVeteran.html.trap.gz (229 of 442)
[2023-12-12 08:37:55] Importing householdVeteranWho.html.trap.gz (230 of 442)
[2023-12-12 08:37:55] Importing householdVictimOfDomesticViolence.html.trap.gz (231 of 442)
[2023-12-12 08:37:55] Importing householdWhichPersonalSituations.html.trap.gz (232 of 442)
[2023-12-12 08:37:55] Importing householdWorkDisqualifications.html.trap.gz (233 of 442)
[2023-12-12 08:37:55] Importing howThisWorks.html.trap.gz (234 of 442)
[2023-12-12 08:37:55] Importing incomeJobHoursPerWeek.html.trap.gz (235 of 442)
[2023-12-12 08:37:55] Importing incomeSignPost.html.trap.gz (236 of 442)
[2023-12-12 08:37:55] Importing jobHourlyWage.html.trap.gz (237 of 442)
[2023-12-12 08:37:55] Importing jobHoursPerWeek.html.trap.gz (238 of 442)
[2023-12-12 08:37:55] Importing jobPaidByHour.html.trap.gz (239 of 442)
[2023-12-12 08:37:55] Importing jobPayAmount.html.trap.gz (240 of 442)
[2023-12-12 08:37:55] Importing jobPayPeriod.html.trap.gz (241 of 442)
[2023-12-12 08:37:55] Importing languagePreference.html.trap.gz (242 of 442)
[2023-12-12 08:37:55] Importing legalStuff.html.trap.gz (243 of 442)
[2023-12-12 08:37:55] Importing mailingAddress.html.trap.gz (244 of 442)
[2023-12-12 08:37:55] Importing mailingAddressNoAddress.html.trap.gz (245 of 442)
[2023-12-12 08:37:55] Importing medicaid.html.trap.gz (246 of 442)
[2023-12-12 08:37:55] Importing moreInfoPersonalSituations.html.trap.gz (247 of 442)
[2023-12-12 08:37:55] Importing multiplePersonHousehold.html.trap.gz (248 of 442)
[2023-12-12 08:37:55] Importing noPermanentAddress.html.trap.gz (249 of 442)
[2023-12-12 08:37:55] Importing personalInfo.html.trap.gz (250 of 442)
[2023-12-12 08:37:55] Importing phoneNumberNudge.html.trap.gz (251 of 442)
[2023-12-12 08:37:55] Importing raceEthnicityAsk.html.trap.gz (252 of 442)
[2023-12-12 08:37:55] Importing raceSelection.html.trap.gz (253 of 442)
[2023-12-12 08:37:55] Importing registerToVote.html.trap.gz (254 of 442)
[2023-12-12 08:37:55] Importing registerToVoteHelp.html.trap.gz (255 of 442)
[2023-12-12 08:37:55] Importing reviewContactInfo.html.trap.gz (256 of 442)
[2023-12-12 08:37:55] Importing sensitiveQuestions.html.trap.gz (257 of 442)
[2023-12-12 08:37:55] Importing signPost.html.trap.gz (258 of 442)
[2023-12-12 08:37:55] Importing signature.html.trap.gz (259 of 442)
[2023-12-12 08:37:55] Importing ssnForm.html.trap.gz (260 of 442)
[2023-12-12 08:37:55] Importing timeoutNotice.html.trap.gz (261 of 442)
[2023-12-12 08:37:55] Importing utilities.html.trap.gz (262 of 442)
[2023-12-12 08:37:55] Importing utilitiesCookingFuel.html.trap.gz (263 of 442)
[2023-12-12 08:37:55] Importing utilitiesCooling.html.trap.gz (264 of 442)
[2023-12-12 08:37:55] Importing utilitiesElectricity.html.trap.gz (265 of 442)
[2023-12-12 08:37:55] Importing utilitiesGarbage.html.trap.gz (266 of 442)
[2023-12-12 08:37:55] Importing utilitiesHeating.html.trap.gz (267 of 442)
[2023-12-12 08:37:55] Importing utilitiesOther.html.trap.gz (268 of 442)
[2023-12-12 08:37:55] Importing utilitiesPhone.html.trap.gz (269 of 442)
[2023-12-12 08:37:55] Importing utilitiesSewer.html.trap.gz (270 of 442)
[2023-12-12 08:37:55] Importing utilitiesWater.html.trap.gz (271 of 442)
[2023-12-12 08:37:55] Importing whosApplying.html.trap.gz (272 of 442)
[2023-12-12 08:37:55] Importing clientInfo.html.trap.gz (273 of 442)
[2023-12-12 08:37:55] Importing docSubmitConfirmation.html.trap.gz (274 of 442)
[2023-12-12 08:37:55] Importing finalConfirmation.html.trap.gz (275 of 442)
[2023-12-12 08:37:55] Importing howToAddDocuments.html.trap.gz (276 of 442)
[2023-12-12 08:37:55] Importing uploadDocuments.html.trap.gz (277 of 442)
[2023-12-12 08:37:55] Importing privacy.html.trap.gz (278 of 442)
[2023-12-12 08:37:55] Importing ssnFAQs.html.trap.gz (279 of 442)
[2023-12-12 08:37:55] Importing application-test.yaml.trap.gz (280 of 442)
[2023-12-12 08:37:55] Importing scaffold.html.trap.gz (281 of 442)
[2023-12-12 08:37:55] Importing application-demo.yaml.trap.gz (282 of 442)
[2023-12-12 08:37:55] Importing application-dev.yaml.trap.gz (283 of 442)
[2023-12-12 08:37:55] Importing application-staging.yaml.trap.gz (284 of 442)
[2023-12-12 08:37:55] Importing application.yaml.trap.gz (285 of 442)
[2023-12-12 08:37:55] Importing flows-config.yaml.trap.gz (286 of 442)
[2023-12-12 08:37:55] Importing dropzone.js.trap.gz (287 of 442)
[2023-12-12 08:37:55] Importing index.js.trap.gz (288 of 442)
[2023-12-12 08:37:55] Importing demoBanner.html.trap.gz (289 of 442)
[2023-12-12 08:37:55] Importing fileUploader.html.trap.gz (290 of 442)
[2023-12-12 08:37:55] Importing footer.html.trap.gz (291 of 442)
[2023-12-12 08:37:55] Importing head.html.trap.gz (292 of 442)
[2023-12-12 08:37:55] Importing icons.html.trap.gz (293 of 442)
[2023-12-12 08:37:55] Importing checkboxMod.html.trap.gz (294 of 442)
[2023-12-12 08:37:55] Importing fulldate.html.trap.gz (295 of 442)
[2023-12-12 08:37:55] Importing householdCheckboxFieldset.html.trap.gz (296 of 442)
[2023-12-12 08:37:55] Importing money.html.trap.gz (297 of 442)
[2023-12-12 08:37:55] Importing number.html.trap.gz (298 of 442)
[2023-12-12 08:37:55] Importing repAddress.html.trap.gz (299 of 442)
[2023-12-12 08:37:55] Importing ssn.html.trap.gz (300 of 442)
[2023-12-12 08:37:55] Importing submitButtonSecondary.html.trap.gz (301 of 442)
[2023-12-12 08:37:55] Importing text.html.trap.gz (302 of 442)
[2023-12-12 08:37:55] Importing yesOrNo.html.trap.gz (303 of 442)
[2023-12-12 08:37:55] Importing libraryHead.html.trap.gz (304 of 442)
[2023-12-12 08:37:55] Importing localeSelect.html.trap.gz (305 of 442)
[2023-12-12 08:37:55] Importing mixpanelTracking.html.trap.gz (306 of 442)
[2023-12-12 08:37:55] Importing reveal.html.trap.gz (307 of 442)
[2023-12-12 08:37:55] Importing toolbar.html.trap.gz (308 of 442)
[2023-12-12 08:37:55] Importing index.html.trap.gz (309 of 442)
[2023-12-12 08:37:55] Importing applicantNotice.html.trap.gz (310 of 442)
[2023-12-12 08:37:55] Importing authorizedRepAuthorization.html.trap.gz (311 of 442)
[2023-12-12 08:37:55] Importing authorizedRepCommunication.html.trap.gz (312 of 442)
[2023-12-12 08:37:55] Importing authorizedRepContactInfo.html.trap.gz (313 of 442)
[2023-12-12 08:37:55] Importing authorizedRepMail.html.trap.gz (314 of 442)
[2023-12-12 08:37:55] Importing authorizedRepSpending.html.trap.gz (315 of 442)
[2023-12-12 08:37:55] Importing choosePrograms.html.trap.gz (316 of 442)
[2023-12-12 08:37:55] Importing confirmation.html.trap.gz (317 of 442)
[2023-12-12 08:37:55] Importing contactInfo.html.trap.gz (318 of 442)
[2023-12-12 08:37:55] Importing ethnicitySelection.html.trap.gz (319 of 442)
[2023-12-12 08:37:55] Importing expeditedSnapNotice.html.trap.gz (320 of 442)
[2023-12-12 08:37:55] Importing expeditedSnapStart.html.trap.gz (321 of 442)
[2023-12-12 08:37:55] Importing expensesCondoFees.html.trap.gz (322 of 442)
[2023-12-12 08:37:55] Importing expensesDentalInsurance.html.trap.gz (323 of 442)
[2023-12-12 08:37:55] Importing expensesDependentCare.html.trap.gz (324 of 442)
[2023-12-12 08:37:55] Importing expensesDependentCareAmount.html.trap.gz (325 of 442)
[2023-12-12 08:37:55] Importing expensesElderlyCare.html.trap.gz (326 of 442)
[2023-12-12 08:37:55] Importing expensesElderlyCareAmount.html.trap.gz (327 of 442)
[2023-12-12 08:37:55] Importing expensesFloodInsurance.html.trap.gz (328 of 442)
[2023-12-12 08:37:55] Importing expensesHomeownerInsurance.html.trap.gz (329 of 442)
[2023-12-12 08:37:55] Importing expensesInsurance.html.trap.gz (330 of 442)
[2023-12-12 08:37:55] Importing expensesLotRent.html.trap.gz (331 of 442)
